step,eval_return,train_return,sps,critic_loss,q_mean,alpha,entropy
10000,858.9193056523312,839.5244788561915,21.7,1.939505934715271,75.17048645019531,0.19482028484344482,nan
20000,3792.985617466193,4879.544563338852,15.4,9.193461418151855,292.851318359375,0.06204459071159363,-6.526885509490967
30000,6348.07353923901,5849.725891237884,10.1,4.888328552246094,395.2017822265625,0.06694088876247406,nan
40000,6962.496220179417,6680.051412386741,10.8,18.718456268310547,437.8563537597656,0.07771795988082886,nan
50000,7511.903568234629,7168.354484350311,11.8,9.567392349243164,508.34600830078125,0.0852603167295456,-6.172093391418457
60000,7812.642596735366,7538.417707715687,11.3,8.19274616241455,532.9400634765625,0.09952156990766525,nan
70000,8369.895811123217,7736.889644117124,6.8,7.6051836013793945,566.6727294921875,0.10919176787137985,nan
80000,8670.964701771145,8204.881664554097,6.9,14.343902587890625,591.8422241210938,0.1235622689127922,-5.924264907836914
90000,8655.497821451585,8388.697294581787,5.9,10.060625076293945,616.580810546875,0.13341034948825836,nan
100000,8628.103118734536,8568.488515159344,11.6,13.489981651306152,642.3525390625,0.1427001804113388,nan
110000,9448.564875563414,9191.204183925962,16.6,9.045087814331055,665.2979125976562,0.15686623752117157,-6.108332633972168
120000,9749.095666483936,9232.43931353914,12.1,7.419577121734619,696.0556640625,0.16473527252674103,nan
130000,9750.221065047619,9504.999447582504,12.9,11.460601806640625,729.15234375,0.16974188387393951,nan
140000,9865.716015411022,9677.036478433965,19.8,14.906599998474121,718.1882934570312,0.1663050651550293,-5.573328971862793
150000,10221.065980890216,9779.154853709788,22.6,11.887794494628906,750.2119750976562,0.17949604988098145,nan
160000,10201.092515425897,9786.480426043876,22.3,7.622745513916016,736.4139404296875,0.17763906717300415,nan
170000,10365.430936427822,9972.715074516596,22.6,14.997211456298828,766.601318359375,0.1892307996749878,-5.725226402282715
180000,10711.110633052658,10049.105072445513,23.0,8.065360069274902,769.106201171875,0.18723627924919128,nan
190000,10192.708163249918,10082.832855483493,24.9,12.52412223815918,779.5423583984375,0.1870473027229309,nan
200000,10715.261278295768,10089.337952686534,26.0,13.368305206298828,809.6090087890625,0.1906205266714096,-5.788431167602539
210000,10445.892544285942,10363.761236557953,26.3,8.673661231994629,794.6817626953125,0.18849511444568634,nan
220000,10759.897175479036,10325.011039758332,26.4,12.206686973571777,818.674072265625,0.18893873691558838,nan
230000,10912.349027604152,10400.741102380058,26.4,18.26788330078125,813.3867797851562,0.19335556030273438,-6.101747512817383
240000,10930.350235212245,10365.347320639292,26.3,10.477058410644531,833.8851318359375,0.19065605103969574,nan
250000,10787.772697237539,10571.401454191957,26.6,9.046586036682129,838.7327270507812,0.19758540391921997,nan
260000,10593.72368241224,10715.2077409065,26.5,15.763909339904785,848.3632202148438,0.19642461836338043,-6.060937404632568
270000,11092.45980726638,10733.639191359134,26.4,14.536008834838867,845.6889038085938,0.20776833593845367,nan
280000,9599.72957477365,10945.177565072134,26.4,13.443878173828125,845.1909790039062,0.20996218919754028,nan
290000,11292.828294288995,10728.508271803028,26.4,10.750066757202148,851.4619140625,0.19880753755569458,-6.185334205627441
300000,11217.181056559732,10984.491653768831,26.4,15.497611999511719,867.444580078125,0.20103897154331207,nan
