step,eval_return,train_return,sps,critic_loss,q_mean,alpha,entropy
10000,74.38759842176,483.19965341927866,19.0,9.71320915222168,117.81327056884766,0.20814162492752075,nan
20000,585.9563273522551,530.2801953456103,15.2,22.126893997192383,146.92410278320312,0.052691005170345306,-2.995419502258301
30000,938.4840929205131,1190.9309886992542,12.2,13.601180076599121,187.7057647705078,0.06323415040969849,nan
40000,629.0054313871503,2440.847490800145,43.0,12.382405281066895,210.955078125,0.057296477258205414,nan
50000,3172.434937682926,1205.6655749409372,19.0,13.636411666870117,228.5816650390625,0.0523766428232193,-3.2738497257232666
60000,3062.0999858341956,1255.948346011051,13.8,12.140886306762695,231.79458618164062,0.03689635172486305,nan
70000,3069.738903822488,2239.7033065101396,14.4,9.77151870727539,235.40866088867188,0.04711369797587395,nan
80000,3151.8764711057015,2735.649316913118,18.5,62.67142868041992,248.25985717773438,0.03685160353779793,-2.9353532791137695
90000,3262.7933227315016,1318.6325716617769,24.7,9.334604263305664,247.65750122070312,0.030831724405288696,nan
100000,3240.1006092946104,1011.510640091552,11.8,5.653784275054932,246.2002716064453,0.03426586836576462,nan
110000,1064.566699043529,3285.788421351046,11.6,8.306452751159668,265.16986083984375,0.02799610048532486,-3.3592734336853027
120000,2998.721532682518,2993.184209117085,11.9,6.222959518432617,262.3404846191406,0.02849915437400341,nan
130000,3249.4985999733985,3319.7578208143464,21.3,3.49312686920166,271.281982421875,0.021469639614224434,nan
140000,3312.712665082535,3300.6879660013446,18.7,1.8539568185806274,284.7305603027344,0.01924009434878826,-2.845341205596924
150000,3454.8026356495584,2699.9800290414,15.2,3.9024462699890137,287.85430908203125,0.016326941549777985,nan
160000,3353.885720161082,2070.502950030923,16.8,5.780439376831055,271.0526123046875,0.01938183605670929,nan
170000,2696.4998709577367,3278.1255502620756,25.3,25.79732322692871,231.23162841796875,0.02287369593977928,-2.915970802307129
180000,3352.9186693441325,3435.033241260401,23.5,9.024486541748047,292.5281982421875,0.01719036139547825,nan
190000,3438.3749029057044,2378.3321860094484,24.9,4.979881286621094,289.7427673339844,0.016826804727315903,nan
200000,3246.48708841393,1857.1743789627724,20.3,3.8244431018829346,294.640869140625,0.016255108639597893,-2.9364824295043945
210000,3191.038046367447,1625.3107521116608,17.1,7.894198417663574,269.48046875,0.015176995657384396,nan
220000,2357.5216539155517,1212.7927856865447,62.5,2.4720840454101562,288.325439453125,0.017162833362817764,nan
230000,3428.2897378029766,2047.8183491528534,26.6,1.8724082708358765,282.64691162109375,0.017799727618694305,-2.8692383766174316
240000,3234.3170175487235,1146.948040999018,29.9,1.604231595993042,290.7236328125,0.014979642815887928,nan
250000,2015.3042842896243,2663.2940503875275,35.2,1.788902759552002,292.6318054199219,0.015317050740122795,nan
260000,3392.697049449812,2167.4933251410216,33.5,2.1136765480041504,297.30792236328125,0.015784431248903275,-2.9980881214141846
270000,2922.6157755513045,1373.9613905024094,34.7,1.7131239175796509,297.483154296875,0.014656479470431805,nan
280000,3314.2778070701997,2612.636204858676,34.7,3.9282784461975098,287.67547607421875,0.013798636384308338,nan
290000,3313.1142439716473,3436.968725128001,34.6,2.8121862411499023,293.6071472167969,0.01257498562335968,-3.1556992530822754
300000,3504.5772376594346,3421.667481935874,35.3,1.623512625694275,308.2780456542969,0.014622874557971954,nan
